"Reference ID",Name,Attn,Email,Address,Country,"Telephone Number",Tax,Status,"Entry By","Entry Date","Modified By","Modifed Date",Status
CUST000128,"PUTRABANGUN CITRAMANDIRI .PT","MR. J.BENNY HADIWIBOWO",putrabangun@gmail.com,"JL.AIPDA K.S.TUBUN MO.81F SLIPI PALMERAH , JAKARTA BARAT DKI JAKARTA 11410",Indonesia,5485717,0,Active,admin,"2015-09-19 14:48:38",,"0000-00-00 00:00:00",Active
CUST000129,"CHUN CHERNG INDONESIA PT. ","MS. LIANA LIE",operasional@chuncherng.co.id,"JLN INDUSTRI III BLOK AE NO. 77 KEL.BUNDER, KEC.CIKUPA, KAB. TANGERANG,BANTEN.",Indonesia,5909777,0,Active,xyz,"2015-09-19 14:49:34",,"0000-00-00 00:00:00",Active
CUST000130,"TUN YUN GARMENT INDONESIA. PT","MS. KOREA WU",jaya@pttunyun.com,"JL.JAWA V BLOKC-22 D/H F-09 SUKAPURA JL.RAYA CAKUNG CILINCING KBN, JAKARTA UTARA INDONESIA",Indonesia,4403890,0,Active,xyz,"2015-09-19 14:53:08",,"0000-00-00 00:00:00",Active
CUST000131,"EDY PRAMONO . MR","EDY PRAMONO .MR",edy@gmail.com,"JALAN PERSATUAN 2 NO.2 44 TANAH MERAH KELAPA GADING UTARA JAKARTA INDONESIA",Indonesia,81210019886,0,Active,admin,"2015-09-19 14:53:23",,"0000-00-00 00:00:00",Active
CUST000132,"DEWI PENGAYOM BANGSA.PT",FITRI,dewipengayom@gmail.com,"JL.SUNAN ABINAWA NO.1 RT.03 RW.05 PENGANDON KENDAL JAWA TENGAH 51357",Indonesia,3686602,0,Active,admin,"2015-09-19 15:00:43",,"0000-00-00 00:00:00",Active
CUST000133,"XERAMA BICYCLE INDUSTRIAL PT.","MR. CHANG/MR. TIKNO",tikno.ind@marwi.com.tw,"JL. RAYA CURUG KM. 2 KP. CISEREH DS.KADU JAYA CURUG TANGGERANG",Indonesia,5981234,0,Active,xyz,"2015-09-19 15:03:23",,"0000-00-00 00:00:00",Active
CUST000134,"FENG TAY INDONESIA ENTERPRISE PT.","EASON YEN",iin.indra@fengtay.com,"JL.RAYA BANJARAN KM 14.6 DESA BOJONG MANGGU KECAMATAN PAMEUNGEUK KABUPATEN BANDUNG",Indonesia,5940688,0,Active,admin,"2015-09-19 15:04:11",,"0000-00-00 00:00:00",Active
CUST000135,"DAIJO INDUSTRIAL,PT ",MR.LI,tina@daijo.co.id,"KAW BERIKAT NUSANTARA BONDED ZONE BLOK E-21 JL.RAYA CAKUNG CILINCING",Indonesia,44834002,0,Active,xyz,"2015-09-19 15:05:58",,"0000-00-00 00:00:00",Active
CUST000136,"DANNY TAN MR.","DANNY TAN MR.",danny@gmail.com,"JL.POOL PPD PESING POGLAR KOMPLEK PRIMA CENTER 2 BLOK D/8 CENGKARENG JAKARTA BARAT 11710",Indonesia,29031023,0,Active,admin,"2015-09-19 15:06:48",,"0000-00-00 00:00:00",Active
CUST000137,"TUNGMUNG TEXTILE BINTAN BALARAJA (TMTB) PT.","PAWIT /HENY",reni-handayani@idn.pttuntex.com,"JL.RAYA SERANG KM.24 BALARAJA KEC. BALARAJA TANGERANG JAWA BARAT INDONESIA 15610",Indonesia,5952057,0,Active,admin,"2015-09-19 15:12:17",,"0000-00-00 00:00:00",Active
CUST000138,"CHING LUH INDONESIA PT.","MS.APPLE/ALI AKBAR/JOY HSU/yenni / ina / andi /VIVI ",yeni.exim@chingluh.co.id,"JL.RAYA SERANG KM16  DESA TALAGA SARI CIKUPA TANGERANG",Indonesia,59407888,0,Active,xyz,"2015-09-19 15:13:13",xyz,"2015-09-19 15:17:11",Active
CUST000139,"GOLDEN AGIN NUSA PT.","DARWIN HANITIO",darwin@golden-agin.com,"MITRA BAHARI D1-D2 JL.PRKIN NO.1 JAKARTA UTARA",Indonesia,6692030,0,Active,xyz,"2015-09-19 15:15:56",,"0000-00-00 00:00:00",Active
CUST000140,"SINAR LOGAMINDO SENTOSA PT.","MR. SHEN",sinar28@gmail.com,"JL.KAMPUNG TANGSI RT.04/RW03 DESA SUKADANAU KEC CIKARANG BARAT BEKASI 17520 INDONESIA",Indonesia,89106191,0,Active,admin,"2015-09-19 15:15:56",,"0000-00-00 00:00:00",Active
CUST000141,"HO SEI MACHINERY PT.",MS.LINDA,accounting@indohose.co.id,"RUKO KOPO PLAZA A NO.30 BANDUNG 40233 INDONESIA",Indonesia,6034494,0,Active,admin,"2015-09-19 15:19:41",,"0000-00-00 00:00:00",Active
CUST000142,"CITRA GALVALINDO SUKSES MANDIRI.PT","MR. LIANG",citra@yahoo.com,"JL.RAYA PASAR KEMIS KM7.5  KAMP KEBON KELAPA  (SEBELAH KAWASAN INDUSTRI PDP)",Indonesia,5903593,0,Active,xyz,"2015-09-19 15:20:22",,"0000-00-00 00:00:00",Active
CUST000143,"BUDI MUARA TEX PT.","MR. SENJAYA",budi@gmail.com,"JL.KAPUK KAMAL MUARA BLOK ASIN RT.003/02 NO.4 JAKARTA",Indonesia,5554888,0,Active,admin,"2015-09-19 15:22:48",,"0000-00-00 00:00:00",Active
CUST000144,"MAJU JAYA TOOLSINDO. PT","MS.EVA / MR.JIMMY KRISTANTO",mjtools@live.com,"TAMPAK SIRING INDAH NO.66-68 RT005 RW007 BUKIT GADING VILLA KELAPA GADING  BARAT JAKARTA UTARA-14240 INDONESIA",Indonesia,45846668,0,Active,xyz,"2015-09-19 15:24:04",,"0000-00-00 00:00:00",Active
CUST000145,"WINNERSUMBIRI KNITTING FACTOR PT.","MS. ISTI",winnersumbiri@gmail.com,"JL.KH.AGUS SALIM NO.18 TANAH TINGGI TANGERANG 15119 INDONESIA",Indonesia,55773889,0,Active,admin,"2015-09-19 15:26:14",,"0000-00-00 00:00:00",Active
CUST000146,"OLYMPIC GARMENT INTERNATIONAL PT",ALAN.MR,lufita@ptolympic.com,"JL. RAYA CAKUNG  CILINCING K.B.N  BLK D-12 TANJUNG PRIOK JKT14140 INDONESIA /MR.CHIO /0821 1167 1107",Indonesia,4418214,0,Active,xyz,"2015-09-19 15:27:06",,"0000-00-00 00:00:00",Active
CUST000147,"ANEKA YUCHI UTAMA PT.","MS. HENNY",ayujkt@dnet.net.id,"JL. PINTU AIR IV NO. 37-A JAKARTA",Indonesia,3452933,0,Active,xyz,"2015-09-19 15:29:55",,"0000-00-00 00:00:00",Active
CUST000148,"SANKAN TRANS PT.","MR. ROGER",sankan@gmail.com,"JLN.KAPUK RAYA NO.25 JAKARTA BARAT 11720 INDONESIA",Indonesia,6192937,0,Active,admin,"2015-09-19 15:30:22",,"0000-00-00 00:00:00",Active
CUST000149,"ANDALAN MANDIRI BUSANA.PT",KIPTI,andalan@gmail.com,"Jalan Solo - Tawangmangu KM 9.9 Jumok,Kismorejo Jaten, Karanganyar,",Indonesia,5700025236,0,Active,admin,"2015-09-19 15:32:11",,"0000-00-00 00:00:00",Active
CUST000150,"Union Sejahtera.PT",MS.Sherlly,union@gmail.com,"Jl. Pulau dewa raya blok P1 No.8 Kota Modern ",Indonesia,55773652,0,Active,admin,"2015-09-19 15:34:54",,"0000-00-00 00:00:00",Active
CUST000151,"STARLIGHT GARMENT SEMARANG PT.","MS. LILIK KUMALASARI",lilikumalasari@makalot.com.tw,"JL. TEGAL PANAS JIMBARAN RT.01 RW. 01 DSN, SECANG DESA SAMBAN KEC. BAWEN, SEMARANG",Indonesia,525556,0,Active,xyz,"2015-09-19 15:35:29",,"0000-00-00 00:00:00",Active
CUST000152,"LICO JAYA PT.","MS. LIVI",LICOJAYA@GMAIL.COM,"GEDUNG LINDETEVES TRADE CENTER JL.HAYAMWURUK NO.127 LANTAI  GF2 BLOK A17 NO.3 JAKARTA BARAT",Indonesia,62321005,0,Active,admin,"2015-09-19 15:35:36",,"0000-00-00 00:00:00",Active
CUST000153,"KEMAS INDAH MAJU PT.","URIP MS",kemas@yahoo.com,"JL. RAWA TERATE II NO. 16 KAW, PULO GADUNG JAKARTA",Indonesia,4608847,0,Active,xyz,"2015-09-19 15:38:13",,"0000-00-00 00:00:00",Active
CUST000154,"Indonesia Victory Garment.PT",Leslie,indonesia_victory@gmail.com,"Jl Cisantri TR 002 / RW 001 DS Cilandar Kecamatan Cibatu Purwakarta ",Indonesia,8286995,0,Active,admin,"2015-09-19 15:39:21",,"0000-00-00 00:00:00",Active
CUST000155,"EASTERN FASHIONS PT. ","MS. ANNA",novita@easternfashion.co.id,"KOMPLEKS CBD PLUIT RUKO BLOK A NO.26-28 JL.PLUIT SELATAN RAYA NO.1  KELURAHAN PENJARINGAN JAK-UTARA",Indonesia,66676888,0,Active,admin,"2015-09-19 15:41:48",,"0000-00-00 00:00:00",Active
CUST000156,"ABC TOOLS PD",MS.VERA,ABC@YAHOO.COM,"LINDETEVES TRADE CENTER GF 1 BLOK   C 26 NO.1 JL.HAYAM WURUK NO.127  ",Indonesia,6265058,0,Active,xyz,"2015-09-19 15:42:35",,"0000-00-00 00:00:00",Active
CUST000157,"IDEAL FASTENER PT.","MS. YANI",suryani@idealfastener.com,"JL.HALIM PERDANA KUSUMA NO.88 TANGERANG 15124 INDONESIA",Indonesia,5416864,0,Active,admin,"2015-09-19 15:43:33",,"0000-00-00 00:00:00",Active
CUST000158,"MULTI ARTHA JAYA .PT","MR.ADELI USMAN ",multicoy@cbn.net.id,"JL.RUKO TAMAN PALEM LESTARI  BLOK B17 NO.51 CENGKARENG JAKARTA BARAT ",Indonesia,55962551,0,Active,xyz,"2015-09-19 15:44:44",,"0000-00-00 00:00:00",Active
CUST000159,"TASINDO TASSA INDUSTRIES .PT","MS. YULLY",import@tasindo.co.id,"JL.RAYA SERANG KM.13,8 CIKUPA TANGERANG INDONESIA",Indonesia,59403473,0,Active,xyz,"2015-09-19 15:46:47",,"0000-00-00 00:00:00",Active
CUST000160,"FORMOSA INTI TAMA PT.","MR. JASON  / JOHNNY",formosa@gmail.com,"JL.RAYA CAKUNG CILINCING BLOK D-12 TANJUNG PRIOK JAKARTA INDONESIA",Indonesia,44820388,0,Active,admin,"2015-09-19 15:48:31",admin,"2015-09-19 15:49:00",Active
CUST000161,"GRAKINDO MAJU SUKSES. PT",DEWI,dewi@grakindo.com,"MEKAR WANGI NO.8 KAWASAN INDUSTRI BENUA PABUARAN TUMPENG, TANGERANG  15111 JAKARTA INDONESIA.",Indonesia,5530751,0,Active,xyz,"2015-09-19 15:50:02",admin,"2015-09-19 16:19:50",Active
CUST000162,"HORNG DAR FOOTWEAR PT.","MR.BENSON / MS.NUR",nur.purchasing@horngdarfootwear.com,"JL. MERDEKA KP. CILONGOK RT01/RW04 DESA SUKAMANTRI, KEC.PASAR KEMIS,",Indonesia,5903621,0,Active,xyz,"2015-09-19 15:53:13",,"0000-00-00 00:00:00",Active
CUST000163,"TAEWON INDONESIA PT.",MR.DEHMIN,taewon@gmail.com,"JL.RAYA INDUSTRI SELATAN I BLOK LL-6 KAWASAN INDUSTRI JABABEKA II CIKARANG BEKASI 17550",Indonesia,89841234,0,Active,admin,"2015-09-19 15:54:13",,"0000-00-00 00:00:00",Active
CUST000164,"FENGTAY INDONESIA ENTERPRISE PT.","JASON CHANG MR",iin.indra@fengtay.com,"JL.RAYA BANJARAN KM 14.6 DESA BOJONG KEC:PAMEUNGEUK KAB. BANDUNG",Indonesia,60854488,0,Active,xyz,"2015-09-19 15:56:25",,"0000-00-00 00:00:00",Active
CUST000165,"INTER BUANA MACHINERY","MR. ALUN/MS. MIA/",inter_buana@yahoo.com,"JL. PROF DR. LATUMENTEN NO.50 KOMP SENTRA LATUMENTEN  BLOK E NO. 2",Indonesia,56975531,0,Active,xyz,"2015-09-19 15:59:13",,"0000-00-00 00:00:00",Active
CUST000166,"MOORE STEPHENS PT.","MS. WINDA CHANDRA",windachandra@gmail.com,"INTILAND TOWER LT.7 JL.JEND SUDIRMAN NO.KAV.32 JAKARTA SELATAN 10220",Indonesia,82124671777,0,Active,admin,"2015-09-19 16:03:16",,"0000-00-00 00:00:00",Active
CUST000167,"NEW ASIA TRADING PT.","MRS. CHANG",newasia@gmail.com,"JL.JERUK MANIS IV NO.3 JAKARTA BARAT INDONESIA",Indonesia,5311333,0,Active,admin,"2015-09-19 16:05:21",,"0000-00-00 00:00:00",Active
CUST000168,"INDO TAICHEN TEXTILE INDUSTRY PT.","MR. LIN",INDOTAICHEN@GMAIL.COM,"JL.RAYA SERANG KM.3 JAYA JATIUWUNG TANGERANG 15138 BANTEN INDONESIA",Indonesia,5520920,0,Active,admin,"2015-09-19 16:09:49",,"0000-00-00 00:00:00",Active
CUST000169,Powe,"MELISSA #7715",iwien@syf.ssbshoes.com,"JL.INDUSTRI RAYA BLOK D NO.2 KEL.PASIR JAYA KEC.JATIUWUNG TANGERANG 15000 INDONESIA",Indonesia,59306765,0,Active,admin,"2015-09-19 16:17:35",xyz,"2015-09-21 15:53:10",Active
CUST000170,test,test,test@gmail.com,test,Indonesia,12312123,0,Active,xyz,"2015-10-09 21:18:10",,"0000-00-00 00:00:00",Active
CUST000171,tester,tester,tester@gmail.com,asdasdasd,Indonesia,123123123,0,Active,xyz,"2015-10-09 21:19:26",,"0000-00-00 00:00:00",Active
CUST000172,asdasd,asdasdasd,asdasd@gmail.com,asdasd@gmail.com,cameroon,12312123,PPN,Active,xyz,"2015-10-09 21:20:22",,"0000-00-00 00:00:00",Active
CUST000173,asdasdsa,asdasd,asdasdsa@gmail.com,asdasdas,Indonesia,123123,PPN,Active,xyz,"2015-10-09 21:21:17",,"0000-00-00 00:00:00",Active
CUST000174,asdasdasd,asdasdasd,asdasd@gmail.com,asdasd@gmail.com,Indonesia,123123123,PPN,Active,xyz,"2015-10-09 21:32:01",,"0000-00-00 00:00:00",Active
CUST000175,cococo,cococo,cococo@gmail.com,cocococo,Indonesia,123123123,PPN,Active,xyz,"2015-10-10 11:26:23",,"0000-00-00 00:00:00",Active
CUST000176,cicici,cicici@gmail.com,cicici@gmail.com,cicici@gmail.com,Indonesia,2123123,0,Active,xyz,"2015-10-10 11:27:11",,"0000-00-00 00:00:00",Active
CUST000190,testasdasdasd,test,ada@gmail.com,asdasd,cameroon,12312321,0,Active,xyz,"2015-10-14 17:29:39",,"0000-00-00 00:00:00",Active
CUST1001913213,qeweqweqwewq,qweqwe,qwe@gmail.com,qweqweqwe,Indonesia,1231231231,PPN,Active,xyz,"2015-10-14 17:32:28",,"0000-00-00 00:00:00",Active
CUST000189,kolore,asdasdasd,asdasdasd@gnial.com,asdasdasds,cameroon,123123123,PPN,Active,xyz,"2015-10-14 18:18:02",,"0000-00-00 00:00:00",Active
CUST000192,asdjkas,asdk,konlo@gmail.ocm,asdasd,cameroon,123123123,PPN,Active,xyz,"2015-10-14 18:24:10",,"0000-00-00 00:00:00",Active
CUST000191,asdasdaqweqewqqweqwe,dasdasdasdsdas,asda@gmail.com,asdasdad,Indonesia,123123123123,0,Active,xyz,"2015-10-14 18:26:05",,"0000-00-00 00:00:00",Active
CUST000193,asdasdasdasdasd,asdasda,asdas@GNMAI.cvonm,asdasdasd,Indonesia,123123123213,PPN,Active,xyz,"2015-10-17 15:20:20",,"0000-00-00 00:00:00",Active
CUST000194,qweqweqweqwe,qweqwe,qwe@wqegmail.com,asdasdasd,cameroon,123123123,PPN,Active,xyz,"2015-10-17 15:23:26",,"0000-00-00 00:00:00",Active
CUST000195,&amp;lt;script&amp;gt;alert(&amp;quot;test&amp;quot;)&amp;lt;/script&amp;gt;,asdasd,asdasdasd@gnial.com,asdasda,Indonesia,3123123123,PPN,Active,xyz,"2015-10-19 20:18:05",,"0000-00-00 00:00:00",Active
